code	severity	auto	message	origin
`TIMELINE_EDIT_TRIM_NONE_AT_TIME`	warning	—	選んだ部品が、いま再生位置にかかっていません。再生位置を部品の上へ移すか、かかっている部品だけを選んでください	`ADR-0032`・#1005（**まとめて長さをそろえる**＝相手は再生位置を**またいでいる帯だけ**。またいでいない帯の端をその時刻へ動かすと、遠くの帯が**いちばん短い長さまで潰れる**〔画面の外で起きるので気づけない〕。ボタンは押す前に**何個変わるか**を出し、0個なら押せなくして**この文**を出す。⚠️ **いまの入口はボタンだけ**なので、この文は**押せない見た目の説明**（`title`）として出る。`editBlocked` にも立てるのは**保険**〔キーやメニューから呼ぶ道が増えたとき、無言で何も起きないを作らないため〕。⚠️ **1件のときも同じ規則**＝選んだ数で挙動を割らない〔ADR-0026②〕。伸ばす操作は「長さ（秒）」の欄が受け持つ）
`TIMELINE_CLIP_OUTSIDE_PLAYHEAD`	info	—	再生位置がこの部品の外にあります。部品が出ている時間（0.0〜0.0秒）へ動かしてから触ってください。	`ADR-0032`・#996（キャンバスの取っ手は**その時刻に出ている部品**にしか付かないので、選んでいるのに掴めない。⚠️ **同じ画面で流儀を割らない**〔ADR-0026②〕＝「動き」「音量の変化」の節は同じ状況を文で断っていたのに、「位置・大きさ」だけ**黙って取っ手が消えて**いた。⚠️ **行き止まりにしない**＝理由に加えて「**この部品の時間へ**」を置く〔音量の点の「この位置へ」と同じ流儀〕。⚠️ **言い方は1つの関数から採る**＝もとは2つの節に**同じ文が直に書かれて**いた。秒と「出ている／鳴っている」「触って／置いて」は差し込み口）
`TIMELINE_CANVAS_HOLD_TRACK`	info	—	固定された列の部品は仕上がり確認の上では動かせません。動かすには固定を外してください。	`ADR-0032`・#1012（キャンバスで**掴めない理由**。⚠️ **1か所にまとめる**〔#788-1〕＝以前は単体のときだけ理由別に出し分け、まとめて動かしたときは常に「固定を外してください」＝**動きが原因のときは従っても直らない**案内だった。⚠️ **次の行動は「その場面で本当に押せるもの」だけ**＝まとめてのときは数値の欄も「動き」も画面に無いので案内しない〔実在するのは矢印キーだけ・固定した列では矢印も効かない〕)
`TIMELINE_CANVAS_HOLD_TRACK_MANY`	info	—	固定された列の部品 N 個は動かしていません。動かすには固定を外してください。	`ADR-0032`・#1012（キャンバスで**掴めない理由**。⚠️ **1か所にまとめる**〔#788-1〕＝以前は単体のときだけ理由別に出し分け、まとめて動かしたときは常に「固定を外してください」＝**動きが原因のときは従っても直らない**案内だった。⚠️ **次の行動は「その場面で本当に押せるもの」だけ**＝まとめてのときは数値の欄も「動き」も画面に無いので案内しない〔実在するのは矢印キーだけ・固定した列では矢印も効かない〕)
`TIMELINE_CANVAS_HOLD_ANIMATION`	info	—	動きが効いている部品は仕上がり確認の上では動かせません。下の数値（または矢印キー）で変えるか、「動き」で調整してください。	`ADR-0032`・#1012（キャンバスで**掴めない理由**。⚠️ **1か所にまとめる**〔#788-1〕＝以前は単体のときだけ理由別に出し分け、まとめて動かしたときは常に「固定を外してください」＝**動きが原因のときは従っても直らない**案内だった。⚠️ **次の行動は「その場面で本当に押せるもの」だけ**＝まとめてのときは数値の欄も「動き」も画面に無いので案内しない〔実在するのは矢印キーだけ・固定した列では矢印も効かない〕)
`TIMELINE_CANVAS_HOLD_ANIMATION_MANY`	info	—	動きが効いている部品 N 個は動かしていません。矢印キーで動かせます。1つだけ選ぶと数値でも変えられます。	`ADR-0032`・#1012（キャンバスで**掴めない理由**。⚠️ **1か所にまとめる**〔#788-1〕＝以前は単体のときだけ理由別に出し分け、まとめて動かしたときは常に「固定を外してください」＝**動きが原因のときは従っても直らない**案内だった。⚠️ **次の行動は「その場面で本当に押せるもの」だけ**＝まとめてのときは数値の欄も「動き」も画面に無いので案内しない〔実在するのは矢印キーだけ・固定した列では矢印も効かない〕)
`TIMELINE_CANVAS_HOLD_GROUP`	info	—	まとまりの変形が効いている部品は仕上がり確認の上では動かせません。下の数値（または矢印キー）で変えてください。	`ADR-0032`・#1012（キャンバスで**掴めない理由**。⚠️ **1か所にまとめる**〔#788-1〕＝以前は単体のときだけ理由別に出し分け、まとめて動かしたときは常に「固定を外してください」＝**動きが原因のときは従っても直らない**案内だった。⚠️ **次の行動は「その場面で本当に押せるもの」だけ**＝まとめてのときは数値の欄も「動き」も画面に無いので案内しない〔実在するのは矢印キーだけ・固定した列では矢印も効かない〕)
`TIMELINE_CANVAS_HOLD_GROUP_MANY`	info	—	まとまりの変形が効いている部品 N 個は動かしていません。矢印キーで動かせます。1つだけ選ぶと数値でも変えられます。	`ADR-0032`・#1012（キャンバスで**掴めない理由**。⚠️ **1か所にまとめる**〔#788-1〕＝以前は単体のときだけ理由別に出し分け、まとめて動かしたときは常に「固定を外してください」＝**動きが原因のときは従っても直らない**案内だった。⚠️ **次の行動は「その場面で本当に押せるもの」だけ**＝まとめてのときは数値の欄も「動き」も画面に無いので案内しない〔実在するのは矢印キーだけ・固定した列では矢印も効かない〕)
`TIMELINE_SUBTITLE_OVERLAP`	warning	位置は**直さない**（手で置いた場所を黙って動かさない）＝知らせるだけ	同じ時刻に重なって出る字幕が N 組あります。そのままだと文字が重なって読めません。どちらかの字幕を選んで、上下にずらすか、出る時間をずらしてください。	#1014（⚠️ **置くその瞬間しか見ていなかった**＝`stackedSubtitleY` は置くときだけ重なりを避けるので、置いた**後**にずらすとまた同じ場所に重なる〔別の列に居るとき。同じ列は V24 で断られる〕。⚠️ **箱ではなく描かれる矩形で見る**＝高さは折返し行数＋帯の余白で決まる。**横も見る**・**回した後の外枠**で見る〔`subtitleOverflowsCanvas` と同じ式〕。⚠️ **書き出しは止めない**＝位置は利用者の持ち物）
`TIMELINE_BULK_VOICE_NOT_FITTED`	warning	声はそのまま残す（作り直させない）＋**どの部品か**を名前で示す	「 〇〇 」は、声は作りましたが長さを合わせられませんでした。	#1045（⚠️ **1件ずつのときの断り方をそのまま使えない**＝あちらは「選んだ部品」の欄に出すので相手＝いま選んでいる部品だが、まとめて作ると**選んでいない部品**が相手になる〔ADR-0034 決定10「操作した所で返す」〕。⚠️ **1件ごとに出すと次の断りで上書きされる**＝最後の1件しか残らない。⚠️ **次の行動はこの文に書かない**〔PR #1049 レビュー〕＝合わせられない理由は**重なり**とは限らず〔**列が固定されている**こともある〕、1つの締めを書くと**片方では効かない案内**になる。理由ごとの次の行動は**その理由の行**が持っているので、**出た理由のぶんだけ添える**）
`TIMELINE_EDIT_GROUP_ACROSS_TRACKS`	warning	—	この列の部品が、ほかの列の部品とまとまりになっています。まとまりを外してから複製してください	`ADR-0032`・#767（列の複製＝**中身ごと**運ぶので、まとまりが列をまたぐと**片側だけ複製した方の絵が変わる**。黙って違う絵を作らない＝ADR-0026④）
`TIMELINE_EDIT_HIDDEN_TRACK`	warning	—	この列は「出さない」設定なので、置いても動画に出ません。ほかの列へ置くか、列の「⋮」から「動画に出す」を選んでください	`#684`・`ADR-0034` 決定10（**固定〔動かせない〕とは別**＝映らない。ボタンで置くときも隠した列は選ばないので、ドラッグでも同じにする〔ADR-0026②〕）
`TIMELINE_EDIT_NOT_FOUND`	warning	—	その部品は見つかりませんでした。選び直してください	`ADR-0032`
`TIMELINE_EDIT_NOT_AUDIO`	warning	—	その部品は音を持っていません。音の設定は、音や読み上げの部品で変えてください	`#724`・`11 §7.6.3.2`（音の設定＝速さ・使い始め・音量・フェードを**音を持たない部品**へ書こうとした。⚠️ `NOT_FOUND` で断らない＝「見つかりませんでした」は嘘になり、選び直しても直らない。**兄弟との使い分け**＝`VOLUME_POINTS_KIND` は音量の変化（点）専用／`CONTENT_FIELD` は「音はあるが**その項目が無い**」〔読み上げに「鳴らす音の選び直し」は無い〕／こちらは「**そもそも音を持たない**」。⚠️ 現状 UI は欄を出し分けているので到達しない＝**防御としてのみ存在する**〔`VOLUME_POINTS_KIND` と同型〕）
`TIMELINE_EDIT_NOT_PLAYABLE`	warning	—	その部品には速さ・素材の使い始めがありません。音か動画の部品で変えてください	#1019 ⑦・`11 §7.6.3.2`（**速さ・素材の使い始め**を、その2つを持たない部品〔文字・図形・写真の差し込み口・見た目パターン〕へ書こうとした。⚠️ **`NOT_AUDIO` を流用しない**＝この2つは**動画にもある**〔直接置いた動画は `videoPlacementsOfClip` が `sourceStartSec`／`speed` を読む〕ので、「音や読み上げの部品で変えてください」だと**動画の部品を探せない**＝従っても直らない。⚠️ **読み上げは `CONTENT_FIELD`**〔音はあるがこの項目が無い＝長さは声の実尺で決まっており、速さを変えると連動している字幕の区間も意味を失う〕。⚠️ 現状 UI は欄を出し分けているので到達しない＝**防御としてのみ存在する**）
`TIMELINE_EDIT_NO_ORIGINAL_AUDIO`	warning	—	この動画には音が入っていないので、元の音は鳴らせません。音を付けるなら、音の列に音を置いてください	`#512` 段2・`11 §7.6.3.2`（動画の**元の音**を、動画ではない部品か**音の入っていない動画**へ書こうとした。⚠️ `NOT_AUDIO` と分ける＝「音や読み上げの部品で変えてください」は動画の話をしていないので、従っても直らない。⚠️ 画面は `canUseOriginalAudio` で欄を出し分けるので通常は到達しない＝**防御としてのみ存在する**）
`TIMELINE_EDIT_EXPORTING`	warning	—	いま動画を書き出しています。終わってから編集してください	`ADR-0032`・`11 §7.6.5`（書き出しは**始めた時点の文書**を焼く＝入らない編集を受け付けない・ADR-0026①）
`USER_TEMPLATE_SAVE_INVALID`	warning	—	この見た目パターンは、いまの内容では保存できません。直前に変えた項目を「取り消す」で元に戻してから、もう一度お試しください	`ADR-0017`・#959。**保存の前に「読み込みと同じ経路」（`parseTemplatePack`）を通す**＝⚠️ **「保存できたのに読み込めない」を構造で無くす**。以前は保存が素通りで、差し込み口を足した見た目パターンは `slotType` 欠落のまま保存でき、次に開くと**一覧から静かに消えていた**。⚠️ **補正で直せる欠けは先に補うので行き止まりにならない**（`15 §6` 取り込み時の自動補正と同じ関数）＝ここまで来るのは**補正では直せない不正値**だけなので「もう一度」ではなく**元に戻す**を案内する。⚠️ **複製・ゼロから作成も同じ action を通る**ので入口ごとに書き足さない
`PROJECT_BACKUP_AVAILABLE`	warning	—	この動画は開けませんでしたが、 〔日時〕  に保存できていたところが残っています。そこから開き直せます。開けなかったほうも消さずに残ります	#263。**開けなかったときだけ・利用者が押したときだけ**戻す（§2-5＝黙って古い内容へ巻き戻さない）。⚠️ **出すのは中身が壊れているときだけ**（`ProjectLoadError.failure === 'broken'`）＝新しい版・別の形式は壊れていないので、戻しても直らない。⚠️ **控えがあるときだけ**（押せるのに何も起きない導線を作らない）。⚠️ **いつのものかを言う**＝どれだけ巻き戻るかが分からないと決められない
`PROJECT_RESTORE_FAILED`	warning	—	前に保存できていたところから開けませんでした。一覧から別の動画を選んでください	#263（押したのに何も起きないように見せない）
`RESTORE_WRITE_FAILED`	error	—	戻した内容を書き込めませんでした。空き容量を確かめて、もう一度お試しください	`#263`。**戻す操作（復元ポイント・控え）の書き込みが失敗したとき**（`src-tauri/src/lib.rs`）。⚠️ **生の OS エラーを出さない**＝画面は Rust の文字列を優先して出すので、包まないと `os error 3` が利用者に見える（§2-3）。⚠️ **双子の両方を包む**（α-7 再監査 🟡）＝`restore_project_text` だけ包んで `restore_backup_files` を素のまま残していた。⚠️ **Rust の文言も検査に載せる**＝`errorStateTable.test.ts` の `rustMessages()` へ登録しないと、表とのズレが機械では見えない
`BAKE_LEAVE_BLOCKED`	warning	—	いま新しい動画を作っています。終わるまでこの画面のままお待ちください	`ADR-0032`・#992 ②（焼き出しは**素材を丸ごとコピーする**ので分単位になりうる。その間に画面を離れると**成否の受け皿ごと消える**〔できたのか失敗したのか二度と分からない〕ので `useNavigationGuard` で止める。⚠️ **黙って止めない**＝サイドバーは押せない見た目にできないので、理由を出さないと**押しても何も起きない画面**になる〔§2-5・`navigationGuard` は「`false` を返した側が理由を出す責任を持つ」〕）
`RESTORE_VOICES_CLEARED`	info	作り直しが要る読み上げを「作成前」に戻す	戻しました。セリフが変わっていた N 件の読み上げは、音が前のままになるので作成前に戻しました。この動画はいったん閉じています。開き直して、その場面の声の欄からもう一度作ってください	#263 段階2（#967 レビュー 🟡2）。⚠️ **音のファイルは戻らない**＝読み上げの音は決まった名前で上書きされるので、戻すと**セリフは戻った文なのに声はいまの文**になりうる。⚠️ **これは「見つからない」ではなく「中身が食い違う」**＝素材の欠けを見る仕組みでは拾えず、`status` も作成済みのままなので**そのまま書き出すと字幕と声が違う動画が出る**。⚠️ **文が変わっている読み上げだけ**戻す（全部作り直させると、戻すこと自体が重すぎて使われなくなる）。⚠️ **黙って消したように見せない**＝何も言わないと**声が消えた**ように見える。⚠️ **ボタンの名前を名指ししない**（α-7 出口監査 🔴）＝場面編集のボタンは状態で名前が変わり、**作成前に戻したあとは「声を作成」**になる（掛け合いには行ごとのボタン自体が無い）＝指した名前が見つからない、を作らない。⚠️ **開き直す前に出す**＝開くとホームが消えるので、後に置くと**一度も描かれない**。⚠️ **形式で場所を言い分ける**（#991）＝この知らせは**タイムライン形式でも出る**（`restorePointKeeper` は `clearStaleTimelineVoices` も通す＝#977）のに、文が**場面形式にしか無いもの**（「その場面の」「声の欄」）を名指ししていた。タイムライン形式に場面は無く、作り直すのは「読み上げ」の欄。`06 §12.1`「名指しするものはその画面に実在すること」（#723・決定5）に反する）
`RESTORE_VOICES_CLEARED_TIMELINE`	info	—	戻しました。セリフが変わっていた N 件の読み上げは、音が前のままになるので作成前に戻しました。この動画はいったん閉じています。開き直して、「読み上げ」の欄からもう一度作ってください	`ADR-0032`・#991（**同じ知らせのタイムライン形式版**＝`voicesClearedMessage(count, "timeline")`。この知らせは**タイムライン形式でも出る**〔`restorePointKeeper` は `clearStaleTimelineVoices` も通す＝#977〕のに、文が**場面形式にしか無いもの**〔「その場面の」「声の欄」〕を名指ししていた。この形式に**場面は無く**、作り直すのは「読み上げ」の欄。`06 §12.1`「名指しするものはその画面に実在すること」〔#723・決定5〕に反していた）
`RESTORE_POINTS_UNREADABLE`	warning	—	戻れる時点の一覧を読めませんでした。しばらくしてから、もう一度お試しください	#263 段階2（押したのに何も起きないように見せない）
`RESTORE_POINTS_EMPTY`	info	—	まだ戻れる時点がありません。編集して保存していくと、少しずつ増えていきます	#263 段階2。⚠️ **押せるのに何も無い理由を言う**＝時点は**5分に1つ**しか作らないので、作りたてでは空になる（`RESTORE_POINT_MIN_INTERVAL_MS`）。**増え方まで言う**と待てばよいと分かる
`TIMELINE_EDIT_ORIENTATION`	warning	—	この見た目パターンは向き（横長・縦長）がこの動画と違うので置けません。同じ向きのものを選んでください	`ADR-0032`・`11 §7.6.3`（層の座標がそのまま使われて画面外へ出る＝置く前に断る）
`TIMELINE_EDIT_EXPLODE_ANCHOR`	warning	—	動き（拡大・回転）が付いた部品は、そのままバラすと絵がずれます。動きを外してからバラしてください	`ADR-0032` 決定23・`11 §7.6.3`（動きの支点がクリップの箱→メンバーの外接矩形へ変わる＝はみ出す中身があるとずれる）
`TIMELINE_EDIT_EXPLODE_CROP`	warning	—	切り抜き・素材の寄せがしてある部品はバラせません。そのままバラすと切り取り方が変わります。切り抜きを外し、寄せを「中央」に戻してからバラすか、バラさずに使ってください	`ADR-0032` 決定23・α-6 差分再監査 4巡目（5巡目で **`warning`／「—」へそろえた**＝兄弟の `TIMELINE_EDIT_*` と同じ帯＝**置けないだけでデータは無事**。文言にも**寄せ**を足した＝断る条件は `cropAlign` も含むので、切り抜きしか言わないと解除できない）。⚠️ **切り抜きは部品の箱ぜんぶを切る**（`clipRect`）ので、要素ごとに分けると**各要素が自分の箱で切られる**＝別の絵になる。**写せないものはバラす前に断る**（`TIMELINE_EDIT_EXPLODE_TRIM_END` と同じ流儀＝バラすは取り消しでしか戻らない）
`TIMELINE_EDIT_EXPLODE_TRIM_END`	warning	—	切り出す終わりを決めた動画が入っています。そのままバラすと流れる長さが変わります。その枠に切り出していない動画を入れ直すか、バラさずに使ってください	`#512` 段3b・ADR-0032 決定23（直接置きの語彙に「ここまで」が無い＝置いた長さを縮めると**絵が早く消え**、縮めないと**その先まで流れる**。どちらも「前後で絵が変わらない」に反するので、動きが付いた部品〔`EXPLODE_ANCHOR`〕と同じ流儀で先に断る）
`TIMELINE_EDIT_EXPLODE_BACKGROUND_VIDEO`	warning	—	差し込み口ではない場所（背景など）に動画が入っています。そのままバラすと動き出して見た目が変わります。その動画を差し込み口へ入れるか、写真に差し替えてからバラしてください	`#816-4`・ADR-0032 決定23（差し込み口でない層の動画は**静止画として描かれる**のに、バラすと直接置きになり**実映像として動き出す**＝前後で絵が変わる。「動かさない」を写す語彙が直接置きに無いので `EXPLODE_TRIM_END` と同じ流儀で先に断る。⚠️ **立ち絵は対象外**＝下記 `EXPLODE_CHARACTER_VIDEO` へ分けた）
~~`TIMELINE_EDIT_EXPLODE_CHARACTER_VIDEO`~~	～～**退役**（#809・2026-08-27）～～	—	～～立ち絵として入れた動画は、まだバラせません…～～	⚠️ **自分で消えた断り**＝この関門の理由は「**バラすと動き出す**（バラす前は静止＋書き出しも断っていた）」だったが、#809 で**バラす前から動く**ようになったので前提が消えた。判定は `videoPlacementsOfClip` から作る `placementByLayer` を見ており、立ち絵が置き場所になった時点で**自動的に成立しなくなる**（条件を2か所に書いていなかったので、直す作業も要らなかった）。⚠️ **文言と定義は消さず退役として残す**
`TIMELINE_EDIT_SPLIT_PAST_SOURCE`	warning	—	そこは動画を使い切った後なので分けられません。動画が流れている間（映像が止まる前）の位置で分けてください	`#816` レビュー・ADR-0026①（後半の頭出しがそこまで進むと**切り出す終わりを追い越して反転レンジ**になり、終端が「無し」へ正規化されて**切り捨てたはずの先が流れ出す**〔元の音が入っていれば鳴り出す〕＝分ける前は最後のコマで凍っていたので、切っただけで絵が変わる。**素材の実尺を越える場合は書き出しが理由なく落ちる**ので同じ門で止める。判る材料が無いときは断らない）
`TIMELINE_EDIT_TRIM_PAST_SOURCE`	warning	—	そこまで詰めると、動画を使い切った後から流れます。動画が流れている間（映像が止まる前）まででお試しください	`ADR-0032`・#988（PR #1004 レビュー 🔴）＝**「分ける」に前からあった門（`usesUpSource`）が、左端のトリムに移植されていなかった**（`splitPastSource` は定義だけで未使用）。進めた頭出しが切り出す終わり〔`endSec`〕や素材の実尺を追い越すと、`resolveSlotClip` が終端を「無し」へ正規化して**切り捨てたはずの素材の続きが黙って流れ出す**（#816 と同じ形）。⚠️ **トリムのほうがドラッグで日常的に触る**ぶん起こりやすい。⚠️ **「分ける」と原因は同じでも別の理由にする**＝次の行動が違う〔分けるは位置を変える／トリムはそこまで詰めない〕ので、同じ文を使い回すと**していない操作**を案内する。⚠️ **右端を詰めるときは当てない**（頭出しが進まない）＝当てると、既に使い切った所から始まる壊れたデータで**直す手立てごと塞ぐ**）
`TIMELINE_EDIT_EXPLODE_TRIM_END_PER_USE`	warning	—	この枠だけ切り出す終わりを決めた動画が入っています。そのままバラすと流れる長さが変わります。その枠の動画をいったん「なし」にして入れ直してからバラしてください	`#512` 段3b・ADR-0034 決定5（**出どころで案内を分ける**＝「ここまで」は**その枠だけの設定**〔`slotClips`〕と**素材の既定**〔`asset.clip`〕のどちらからも来る。解決は per-use が優先なので、前者に「素材の画面で外して」と案内すると**従っても解除されない行き止まり**になる。入れ直すと `setClipAssetRef` がその枠の設定を落とす）
`TIMELINE_EDIT_LINKED_SUBTITLE`	warning	—	連動している字幕を置ける場所がありません。字幕をほかの列へ移すか、連動をやめてください	`ADR-0032` 決定24（読み上げ側の操作を断る理由＝触っていない列の話にしない）
`TIMELINE_EDIT_CURVED_EASING`	warning	—	この動き方は途中で分けられません。「動き」の欄に出ている秒数の位置か、動きの付いていない所で分けてください	`ADR-0034` 決定16・`11 §7.6.3`（**#753 で範囲が狭まった**＝カーブは前後へ切り分けて焼けるようになったので、断るのは**その形が表せない／置けない値になるとき**だけ＝「両端ゆっくり」〔3次ベジェで表せない〕／切れ目で進み具合が端に着く形／ハンドルが交差したカーブ〔切ると時間の制御点が 0〜1 を外れる〕／プロパティごとに別のカーブが要る／書き直す相手が後半だけの区間の行き先でもある／切れ目に焼く値が置ける範囲の外〔行き過ぎて戻るカーブ〕。⚠️ **近い形で黙って置き換えない**〔#262 と同じ流儀・ADR-0026④〕。文言の「動き方」は画面の「ここまでの動き方」と同じ語）
`TIMELINE_PLAY_EXPORTING`	warning	—	いま動画を書き出しています。終わってから再生できます	`ADR-0032`・#752-6（`TIMELINE_EDIT_EXPORTING` と分けるのは**次の行動が違う**ため＝こちらは「再生」。ボタンの説明とキーの断り文が**同じ文**を読む）
`TIMELINE_EDIT_PLAYING`	warning	—	再生を止めてから使えます	`ADR-0032` 決定21（位置を使う操作は再生中に押させない・理由を出す）
`TIMELINE_EDIT_UNSPLITTABLE`	warning	—	読み上げと、それに合わせている字幕は分けられません（文と音がずれるため）。字幕だけ分けたいときは「連動する読み上げ」で連動をやめてください	`ADR-0034` 決定16
`TIMELINE_EDIT_SPLIT_OUTSIDE`	warning	—	その位置では分けられません。再生位置を部品の中（両側が0.1秒以上残る所）へ動かしてください	`ADR-0034` 決定16
`TIMELINE_EDIT_LINKED_SUBTITLE_TIME`	warning	—	連動している字幕の時間は読み上げに合わせています。連動をやめると自分で動かせます	`ADR-0032` 決定24（区間の一致を保つ）
`TIMELINE_EDIT_VOLUME_POINTS_FULL`	warning	—	音量の変化は1つの部品に60か所までです。ほかの点を外してから置いてください	`ADR-0032` 追補・`11 §7.6.3.2`（上限は `VOLUME_POINTS_MAX`＝FFmpeg の式の解析上限。**置けたのに書き出しで断られる、を作らない**＝`§7.6.5` と対）
`TIMELINE_EDIT_VOLUME_POINTS_KIND`	warning	—	音量の変化を置けるのは、音や読み上げの部品だけです。音の部品を選び直してください	`ADR-0032` 追補・`11 §7.6.3.2`（鳴る音を持たない部品に意味の無いデータを書かない）
`TIMELINE_EDIT_CONTENT_FIELD`	warning	—	この部品にはその項目がありません。直したい部品を選び直してください	`#684` レビュー・`11 §7.6.3`（`setVisualClipContent`＝その種類が持たない項目／`setClipBox`＝箱を持てない部品〔見た目パターン・音・読み上げ〕・#685。**列の種別違い〔V23〕とは別**＝「列に置き直してください」は項目違いには当たらない案内になる。`VOLUME_POINTS_KIND` と同じ流儀）
`TIMELINE_AUDIO_SOURCE_MISSING`	warning	—	音が見つからない部品があります。その部品は鳴りません。読み上げを作り直すか、音を選び直してください	`ADR-0032`・`11 §7.6.2.2`
`TIMELINE_AUDIO_ASSET_MISSING`	warning	—	音が出せない素材があります。ファイルを選び直すと、置いた場所・切り出す範囲・音量の変化はそのまま残ります	#1050・#1051 ③。⚠️ **`TIMELINE_AUDIO_SOURCE_MISSING`（部品）と別**＝こちらは**素材**なので「ファイルを選び直す」が効く（番号を変えずに差し替えるので、置いた場所や設定が残る）。⚠️ **注意の件数にも入れる**（PR #1076 レビュー）
`TIMELINE_TEMPLATE_NOT_FOUND`	warning	—	見た目パターンが見つからない部品が3個あります。その部品は動画に出ません。その部品を消して、置き直してください（**件数は可変**。**選んでいる1つの詳しい欄では**「この部品の見た目パターンが見つかりません。…」＝#834-2）	`ADR-0032`・`11 §7.6.4`（描かれないものを黙らせない。⚠️ **文言の単一の参照元は `missingTemplateMessage`**〔#834-2〕＝以前は画面2か所に手書きされ、禁止語の検査の走査対象の外に落ちていた〔`lockedTrackMessage` と同じ流儀＝件数の有無で締めを変える〕）
`TIMELINE_EXPORT_EMPTY`	warning	—	まだ何も置かれていないので、動画を書き出せません。素材や文字を置いてから書き出してください	`ADR-0032`・`11 §7.6.5`（尺 0＝呼び出し側で止める）
~~`TIMELINE_EXPORT_VIDEO_ASSET_UNSUPPORTED`~~	～～**退役**（#809・2026-08-27）～～	—	～～立ち絵として入れた動画は、まだ書き出せません…～～	**立ち絵に入れた動画も映って元の音も鳴るようになった**ので、断る理由が無くなった（#512 の段1〜段3b と同じく `videoPlacementsOfClip` が置き場所として数える）。⚠️ **文言と定義は消さず退役として残す**（#635 の `TIMELINE_OVERLAY_RETIRED` と同じ流儀＝過去の版の記述と突き合わせられる）。⚠️ **見た目パターンが解けないときは置き場所にならない**が、そちらは `TIMELINE_EXPORT_TEMPLATE_UNRESOLVED` が別に断る（二重に見ない）
`TIMELINE_VIDEO_AUDIO_UNKNOWN`	info	—	この動画に音が入っているか確かめられませんでした。もう一度取り込むと使えることがあります	`#512` 段2・段3b（取り込みのときに動画を調べられなかった素材＝**「入っていません」と断定しない**。断定すると嘘の理由になり、次の行動も誤る〔実際は取り込み直し〕。場面形式も同じ2文で出し分けている＝ADR-0026②）
`TIMELINE_VIDEO_NO_AUDIO`	info	—	この動画には音が入っていません（音を付けるなら、音の列に音を置いてください）	`#512` 段2・段3b（元の音の欄は**音が入っている動画にだけ**出す＝直接置きも差し込み口も同じ2文＝出しておいて効かない、を作らない。入っていないものには**その場で次の行動**を出す・§2-5。段1 の `TIMELINE_VIDEO_AUDIO_PENDING` は元の音が鳴るようになったので置き換え）
`TIMELINE_VIDEO_STILL_IN_GROUP_FADE`	info	—	まとまり全体を薄くしている間は、ここでは動かずに見えます（書き出した動画では動きます）	`#512` 段1・`11 §7.6.4`（**合成の単位が跨るときは実映像を出さない**＝層ごとに薄さを掛けると重なった所で下が透け、書き出し〔1枚にしてから掛ける〕と別の絵になる。**黙って静止画に見せない**・§2-5）
`TIMELINE_VIDEO_STILL_ROTATED_CROP`	info	—	回した部品を切り抜いている間は、ここでは動かずに見えます（書き出した動画では動きます）	`#512` 段1・`11 §7.6.4.1`（**切り抜きを回す中心が食い違う**＝書き出しは矩形自身の中心・画面は部品の中心で回るので**別の窓**になる。直せるまでは出さない側へ倒す。⚠️ **中心対称な切り抜きは断らない**〔過剰に止めない〕）
`TIMELINE_VIDEO_STILL_UNPLAYABLE`	info	—	この動画は、ここでは映像も音も出せません（形式が合わないか、ファイルが見つかりません）。MP4 で取り込み直すと、ここでも確かめられます	`#816-1`・ADR-0001（**この画面が復号できない形式**〔`.avi`/`.mkv` 等〕＝取り込めるが再生できず、**例外ではなく主要ケース**。以前は静止＋無音になるだけで理由も出ず、書き出しは実映像＋元の音＝**見えていたものと違う動画**が成功として出ていた。音も鳴らせない〔同じ復号器を通る〕ので、鳴らす側からも外して理由だけ出す。⚠️ **素材のファイルが見つからない**ときも同じ状態に落ちる〔失敗の合図は理由を区別しない〕＝**「書き出しには入る」と約束しない**・両方に当たる行動〔取り込み直す〕だけを出す）
`TIMELINE_EXPORT_TEMPLATE_UNRESOLVED`	warning	—	見た目パターンが見つからない部品があります。そのままでは動画に出ません。その部品を消して、置き直してください	`ADR-0032`・`11 §7.6.5`（描かれないものを黙って落とした動画を成功にしない＝ADR-0026④・場面形式の書き出し停止と同じ）
`TIMELINE_EXPORT_SUBTITLE_LINK_BROKEN`	warning	—	連動する読み上げが見つからない字幕があります。そのままでは動画に出ません。連動先を選び直すか、字幕の文を入れてください	`ADR-0032` 決定24・`11 §7.6.2.3`（**指しているのに見つからない**もの限定。「何も描かれない字幕」全部には広げない＝焼き出しが作る「元から空の字幕の箱」まで止め、焼いた直後の動画が書き出せなくなる＝#787 で試して取り下げ）
